Product type,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Latitude,Longitude
cosmetics,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,0.0186075676310149,Air,Route C,523.360914720158,13.0836939,80.270186
haircare,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,2.591275473211116,Rail,Route C,205.57199582694707,22.5726459,88.3638953
cosmetics,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,1.342291562722734,Rail,Route A,196.32944611241268,22.5726459,88.3638953
haircare,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,3.691310292628728,Air,Route A,758.7247726029383,12.9881567,77.6226
haircare,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,3.797231217114183,Road,Route B,458.535945739209,22.5726459,88.3638953
haircare,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,2.119319736724923,Rail,Route A,617.8669164583772,12.9881567,77.6226
cosmetics,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,2.864667837883373,Sea,Route B,762.4591821556837,19.054999,72.8692035
cosmetics,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,0.815757079295672,Air,Route A,123.43702751182708,19.054999,72.8692035
cosmetics,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,3.878098936588488,Road,Route B,764.9353759407081,22.5726459,88.3638953
haircare,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,0.9653947053523932,Road,Route C,880.080988247161,22.5726459,88.3638953
skincare,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,2.9890000066550746,Rail,Route C,609.3792066184267,13.0836939,80.270186
skincare,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,1.946036119386113,Road,Route A,761.1739095148776,22.5726459,88.3638953
cosmetics,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,3.541046012250923,Sea,Route A,371.255295519871,13.0836939,80.270186
skincare,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,0.6466045593720549,Road,Route B,510.3580004335235,13.0836939,80.270186
cosmetics,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,0.5411540980605811,Sea,Route C,553.4204712303558,28.6273928,77.1716954
skincare,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,3.8055333792433537,Air,Route C,403.8089742481805,28.6273928,77.1716954
skincare,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,2.610288084848113,Sea,Route A,183.9329680435944,22.5726459,88.3638953
cosmetics,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,0.6133268991645074,Air,Route B,339.6728699486061,19.054999,72.8692035
skincare,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,1.451972203996816,Air,Route B,653.6729945520332,22.5726459,88.3638953
skincare,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,4.213269430586566,Road,Route A,529.8087239806919,22.5726459,88.3638953
skincare,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,0.0453022623982596,Sea,Route A,275.5243711313098,13.0836939,80.270186
skincare,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,4.939255288620948,Road,Route A,635.6571205019919,12.9881567,77.6226
haircare,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,0.3723047679850977,Air,Route A,716.0441197593407,19.054999,72.8692035
cosmetics,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,2.962626320454882,Rail,Route A,610.4532696192277,28.6273928,77.1716954
haircare,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,3.219604612084106,Rail,Route A,495.305697028474,13.0836939,80.270186
haircare,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,3.6486105925362033,Road,Route B,380.4359371119643,13.0836939,80.270186
skincare,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,0.3805735867132137,Rail,Route A,581.6023550505868,22.5726459,88.3638953
haircare,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,1.6981125407144038,Rail,Route B,768.65191395437,19.054999,72.8692035
cosmetics,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,2.825813985400132,Rail,Route A,336.8901685199779,28.6273928,77.1716954
cosmetics,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,4.754800804671185,Rail,Route B,496.24865029194046,28.6273928,77.1716954
haircare,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,1.7729511720835571,Road,Route A,694.9823175794459,12.9881567,77.6226
skincare,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,2.1224716191438247,Air,Route C,602.8984988383834,19.054999,72.8692035
skincare,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,1.4103475760760271,Air,Route B,750.7378406682709,28.6273928,77.1716954
haircare,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,2.478771975539748,Road,Route B,814.0699965821875,22.5726459,88.3638953
haircare,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,4.548919659396385,Sea,Route B,323.01292795247883,28.6273928,77.1716954
skincare,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,1.173755495387454,Air,Route B,832.2108087060217,19.054999,72.8692035
haircare,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,2.511174830212707,Rail,Route A,482.1912386025281,28.6273928,77.1716954
skincare,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,1.7303747198591968,Road,Route B,110.36433523136472,28.6273928,77.1716954
cosmetics,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,0.4471940154638232,Air,Route A,312.5742736100933,22.5726459,88.3638953
skincare,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,2.853090616649054,Rail,Route A,430.1690969751365,19.054999,72.8692035
haircare,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,4.367470538205053,Air,Route A,164.36652824341942,22.5726459,88.3638953
cosmetics,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,1.8740014040443749,Sea,Route C,320.8465157591116,19.054999,72.8692035
skincare,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,3.6328432903821337,Sea,Route A,687.2861778664173,12.9881567,77.6226
skincare,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,0.1594863147175146,Air,Route C,771.2250846811575,28.6273928,77.1716954
skincare,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,4.911095954842331,Rail,Route C,555.8591036717435,22.5726459,88.3638953
skincare,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.216142728771364,Supplier 5,Kolkata,24,867,28,42.08443673830996,3.4480632883402618,Road,Route A,393.8433485784279,22.5726459,88.3638953
skincare,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,0.1319554443118148,Sea,Route C,169.2718013847869,19.054999,72.8692035
haircare,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,1.98346787217418,Rail,Route A,299.7063031181032,12.9881567,77.6226
skincare,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,1.3623879886491086,Air,Route A,207.6632062085756,22.5726459,88.3638953
haircare,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,1.830575598612232,Road,Route C,183.272898748711,12.9881567,77.6226
cosmetics,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,2.078750607874969,Road,Route A,405.1670678888559,12.9881567,77.6226
cosmetics,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,3.213329607438309,Rail,Route B,677.9445698461833,12.9881567,77.6226
cosmetics,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,4.620546064513706,Road,Route A,866.4728001296578,13.0836939,80.270186
haircare,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,0.3966127241099354,Rail,Route A,341.55265678322337,28.6273928,77.1716954
skincare,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,2.030069088668752,Air,Route C,873.1296480176514,13.0836939,80.270186
haircare,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,2.1800374515822165,Rail,Route A,997.4134501331946,12.9881567,77.6226
haircare,57.44974295897148,14,359,2483.7601775427947,Unknown,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,3.055141818307548,Road,Route B,852.56809891985,22.5726459,88.3638953
haircare,6.306883176111915,50,946,1292.4584179377562,Unknown,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,4.096881332470452,Sea,Route C,323.59220343132216,19.054999,72.8692035
haircare,57.05703122110322,56,198,7888.723268427081,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,0.1658716274806082,Air,Route C,351.50421933503867,12.9881567,77.6226
skincare,91.12831835044432,75,872,8651.672682982065,Unknown,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,2.8496621985053308,Sea,Route B,787.7798504943445,13.0836939,80.270186
haircare,72.81920693031822,9,774,4384.413400045863,Unknown,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,2.547547121548712,Rail,Route B,276.77833594679885,28.6273928,77.1716954
skincare,17.034930739467917,13,336,2943.3818676094515,Unknown,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,4.137877048622357,Road,Route C,589.9785556280407,19.054999,72.8692035
haircare,68.91124621160633,82,663,2411.754632110491,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,0.7730061340672478,Road,Route A,682.9710182260933,12.9881567,77.6226
haircare,89.10436729210225,99,618,2048.2900998487103,Unknown,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,4.843456577118041,Air,Route B,465.457005963688,13.0836939,80.270186
cosmetics,76.96299441519388,83,25,8684.613059253858,Female,15,18,66,2,Carrier C,8.249168704871728,Supplier 5,Chennai,4,211,2,69.9293455186723,1.3744289997457582,Road,Route B,842.6868300046415,13.0836939,80.270186
skincare,19.99817694040422,18,223,1229.5910285649834,Unknown,32,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Mumbai,4,569,18,74.60896999519468,2.0515129307662465,Rail,Route A,264.2548898358665,19.054999,72.8692035
haircare,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,3.693737787839276,Sea,Route B,879.3592177349243,13.0836939,80.270186
cosmetics,75.27040697572501,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,0.722204401882931,Sea,Route A,103.91624796070496,19.054999,72.8692035
cosmetics,97.76008558193868,10,134,5924.682566853231,Unknown,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,1.9076657339590744,Rail,Route B,517.4999739290605,22.5726459,88.3638953
skincare,13.881913501359142,56,320,9592.633570280312,Non-binary,66,18,96,7,Carrier B,7.674430708112694,Supplier 3,Bangalore,8,585,8,85.67596333579797,1.2193822244013883,Rail,Route B,990.0784725058112,12.9881567,77.6226
cosmetics,62.11196546396179,90,916,1935.206793507599,Male,98,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,0.6260018582093946,Rail,Route B,996.7783149506238,28.6273928,77.1716954
cosmetics,47.71423307582023,44,276,2100.1297546259366,Male,90,25,10,8,Carrier B,4.469500026123601,Supplier 2,Mumbai,4,671,29,62.61269039561434,0.3334318252247392,Rail,Route B,230.0927825367629,19.054999,72.8692035
haircare,69.29083100290549,88,114,4531.4021336919095,Unknown,63,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Chennai,21,824,20,35.63365234334388,4.165781795424145,Air,Route A,823.5238458881558,13.0836939,80.270186
cosmetics,3.037688724631414,97,987,7888.356546661873,Unknown,77,26,72,9,Carrier B,6.942945942032581,Supplier 2,Delhi,12,908,14,60.38737861486212,1.4636074984727798,Rail,Route B,846.6652569866948,28.6273928,77.1716954
haircare,77.90392721944775,65,672,7386.363944048664,Unknown,15,14,26,9,Carrier B,8.630338869602754,Supplier 4,Mumbai,18,450,26,58.89068576858998,1.2108821295850665,Air,Route A,778.8642413766479,19.054999,72.8692035
cosmetics,24.42313142037338,29,324,7698.424765632117,Non-binary,67,2,32,3,Carrier C,5.352878043996809,Supplier 3,Mumbai,28,648,28,17.80375633139127,3.872047681482133,Road,Route A,188.74214114905692,19.054999,72.8692035
haircare,3.526111259143416,56,62,4370.916579984536,Male,46,19,4,9,Carrier A,7.904845611209675,Supplier 4,Mumbai,10,535,13,65.76515592636746,3.376237834717981,Road,Route A,540.1324228679678,19.054999,72.8692035
skincare,19.7546048668786,43,913,8525.952559683526,Female,53,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,2.908122169351261,Rail,Route A,882.1988635470415,13.0836939,80.270186
haircare,68.51783269927664,17,627,9185.185829181704,Unknown,55,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Chennai,29,921,2,38.07289852062604,0.3460272907055034,Rail,Route B,210.7430089642461,13.0836939,80.270186
